,Unnamed: 0,geometry,shape_area,count_gt,count_pred,diff
34,34,"POLYGON ((-73.97443866383502 40.75655630634624, -73.97488727186538 40.7559237911435, -73.97498804499061 40.75596419101427, -73.97650358517919 40.75660605763215, -73.97604542132363 40.75723205763827, -73.97453865562939 40.75659708520905, -73.97443866383502 40.75655630634624))",132262.77101692223,13.593803,13.169501,-0.42430177
35,35,"POLYGON ((-73.9776548272757 40.75791142378001, -73.97811607150817 40.75728442760888, -73.97936295464265 40.75781201158496, -73.97891172591584 40.7584365388348, -73.9776548272757 40.75791142378001))",102352.52329673416,8.324727,7.565734,-0.7589938
36,36,"POLYGON ((-73.96670187508813 40.7573808038001, -73.96715254341464 40.75676519526432, -73.96939411311261 40.75769952815847, -73.96893510322617 40.75833009163124, -73.96670187508813 40.7573808038001))",182246.41356037263,17.708548,17.467722,-0.24082577
37,37,"POLYGON ((-73.96962500126692 40.76025144003973, -73.97008100827796 40.75962490690173, -73.97159320825659 40.76026951078144, -73.9716960921487 40.76031266144982, -73.97124277307127 40.7609364184791, -73.97113517599506 40.76089085301933, -73.96962500126692 40.76025144003973))",132202.75177338364,11.798623,7.96079e-07,-11.798623
38,38,"POLYGON ((-73.97124277307127 40.7609364184791, -73.9716960921487 40.76031266144982, -73.97179694048877 40.76035512651445, -73.97330886976623 40.76098886596014, -73.97285250503253 40.76161435775509, -73.97133777276214 40.76097729818962, -73.97124277307127 40.7609364184791))",131494.412146543,9.053356,8.285142,-0.76821494
39,39,"POLYGON ((-73.99346417736238 40.7521900552677, -73.99394825725942 40.75152222166012, -73.99678948802686 40.75272344810024, -73.99630301248396 40.7533885388243, -73.99346417736238 40.7521900552677))",247503.7405097026,13.912794,12.741034,-1.1717615
40,40,"POLYGON ((-73.97445730616322 40.76229308352507, -73.97491476221624 40.76166727005671, -73.9781393167961 40.76302401446676, -73.97768600593265 40.76364440302324, -73.97445730616322 40.76229308352507))",262711.8413049733,22.253012,21.921562,-0.33144897
41,41,"POLYGON ((-73.95972180418647 40.75866306368159, -73.96018161162462 40.75803666202137, -73.96243278464151 40.75898065185316, -73.9619657361163 40.7596194607855, -73.95972180418647 40.75866306368159))",186215.98393208336,6.098107,0.0011357055,-6.0969715
42,42,"POLYGON ((-73.98594653087758 40.75231680555555, -73.98639930852994 40.75169998624524, -73.98749101879176 40.75215893503496, -73.98731032054907 40.75289242302924, -73.98594653087758 40.75231680555555))",99276.30715154351,5.6219163,5.412784,-0.20913266
43,43,"POLYGON ((-73.9916327131064 40.75470680500962, -73.9920790007715 40.75409111586542, -73.99492142037458 40.75529238030829, -73.99446824738793 40.75590886220473, -73.9916327131064 40.75470680500962))",228947.58983854676,13.523236,13.164457,-0.35878015
44,44,"POLYGON ((-73.97301487242221 40.76427887944539, -73.97346523459835 40.76365910435899, -73.97410620656788 40.76392535786098, -73.97363584699043 40.76456991377594, -73.97301487242221 40.76427887944539))",52715.629004678114,18.344234,17.26455,-1.079685
45,45,"POLYGON ((-73.96980028891755 40.76291351212787, -73.97025814725103 40.76228875261047, -73.97035775361928 40.76233140857574, -73.97186903976989 40.76296329295177, -73.97141141689809 40.76358747419987, -73.96990489278997 40.76295804272889, -73.96980028891755 40.76291351212787))",131452.02374018123,12.951807,11.664238,-1.28757
46,46,"POLYGON ((-73.98411754823195 40.75484205346464, -73.98459584284861 40.75417694237392, -73.9866391256856 40.75503452265636, -73.98640436709023 40.75580802928723, -73.98411754823195 40.75484205346464))",188241.339327502,11.477338,10.931179,-0.54616016
47,47,"POLYGON ((-73.96797437129308 40.76541300707922, -73.96843136380792 40.76478792276649, -73.9685377104954 40.7648330853054, -73.97004231989764 40.76546731532626, -73.96958441466369 40.76609086532326, -73.96807742627648 40.76545750320879, -73.96797437129308 40.76541300707922))",131653.91904302692,9.131956,8.454528,-0.6774286
48,48,"POLYGON ((-73.96475544914023 40.76405707059971, -73.96521328054013 40.76343135906106, -73.96681337238606 40.76410529092544, -73.96635926978787 40.76473180190793, -73.96475544914023 40.76405707059971))",131047.57948167907,10.108434,9.930677,-0.17775786
49,49,"POLYGON ((-73.98979085401604 40.75723313191888, -73.99027621412581 40.75656756504964, -73.99242472665395 40.75748188339538, -73.9926310449347 40.75758660768243, -73.99307076283348 40.75782742985579, -73.99263301203591 40.75842968680789, -73.98979085401604 40.75723313191888))",243115.72399864648,23.140562,20.856583,-2.2839808
50,50,"POLYGON ((-73.96068945748924 40.7656138522583, -73.96114862936811 40.76498744597599, -73.96127132459915 40.76503775338823, -73.96153882238276 40.76514744270038, -73.9630377090553 40.76576201551536, -73.96326837561607 40.76585658753667, -73.96340154149762 40.76591119153777, -73.96292865831835 40.76655862794705, -73.96068945748924 40.7656138522583))",186594.23426423204,9.703385,9.625963,-0.077420734
51,51,"POLYGON ((-73.96246998994287 40.76718493378807, -73.96292865831835 40.76655862794705, -73.96453120473146 40.76723436623321, -73.96407630211964 40.76786024634054, -73.96246998994287 40.76718493378807))",131309.2121254702,10.332186,9.961703,-0.37048355
52,52,"POLYGON ((-73.98042606433056 40.75989908107931, -73.98088574583765 40.75927066903297, -73.98373015419733 40.76045708882145, -73.98326291021725 40.76109361573941, -73.98042606433056 40.75989908107931))",234835.1806116673,23.135399,22.50021,-0.63518876
53,53,"POLYGON ((-73.95740437872642 40.77012025494671, -73.95786679270574 40.76948404818037, -73.9601095519654 40.77043221096543, -73.95964440773913 40.77106426635521, -73.95740437872642 40.77012025494671))",186011.31048518,9.386689,9.02823,-0.35846037
